image_name,image_type,image_url,article_title,context,caption,no_crt_no_cnxt,no_crt_yes_cnxt,yes_crt_no_cnxt,yes_crt_yes_cnxt
Mula_Ko_Aachar_2.jpg,food,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Mula_Ko_Aachar_2.jpg/640px-Mula_Ko_Aachar_2.jpg,South_Asian_pickle,"Broth made from achar used for jhol momo In Nepal, achaar (Nepali: अचार) is commonly eaten with the staple dal-bhat-tarkari as well as momo.[26] Many achaar factories in Nepal are women-owned or operated by women.[27][28] Nepalese achaar is made with spices such as mustard seeds, timur (Sichuan pepper), cumin powder, coriander powder, turmeric powder, and chili powder. Some of the popular varieties of achar eaten in Nepal are:",Mula Ko Aachar,"Close-up of a jar containing pickled vegetable slices coated in a grainy mustard-like spice mix. The jar's interior is stained with the spices, giving it an overall colorful and textured appearance.","Alt-text: A close-up view of Nepali achaar in a container, showing pickled vegetables coated with a mixture of spices including mustard seeds and chili powder.",Pickled vegetables with spices in a container.,"A bowl of Nepalese achar with visible mustard seeds and chili powder, featuring sliced pickled vegetables."
Extinction_rebellion_Climbing_division.jpg,historical_cultural,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Extinction_rebellion_Climbing_division.jpg/640px-Extinction_rebellion_Climbing_division.jpg,Extinction_Rebellion,"A report called ""Extremism Rebellion"" by Policy Exchange, a UK-based conservative think tank, said that Extinction Rebellion is an extremist organisation seeking the breakdown of liberal democracy and the rule of law,[121] and called for the criminalisation of the group; the Police, Crime, Sentencing and Courts Act 2022 was based on the 2019 report by Policy Exchange, which received in 2017 a $30,000 donation by US-based oil and gas corporation ExxonMobil,[122][123] to target Extinction Rebellion.[124]",Member of the Extinction Rebellion Climbing Division high up on a pole to make arrest by the police more difficult,"A crowd of people participating in a protest or rally is seen in an urban setting. Some individuals are holding red and orange flags with various symbols. The sky is overcast, and modern office buildings surround the area. A person is positioned on a tall structure, possibly for a better view.","A crowd of people gathered in front of modern office buildings. Many in the group are holding flags, including an orange one with a recognizable logo. The atmosphere appears to be that of a protest or demonstration.","A crowd of people, some holding red and orange flags, gather on a city street surrounded by modern office buildings under a cloudy sky.","A crowd of protesters holding flags, including an orange one with a black ""X"" symbol, in an urban setting with modern glass buildings."
1991_Grantland_Rice_Trophy.jpg,object,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/1991_Grantland_Rice_Trophy.jpg/640px-1991_Grantland_Rice_Trophy.jpg,1991_NCAA_Division_I-A_football_rankings,"The Football Writers Association of America awarded the Grantland Rice Trophy to Washington based on the post-bowl voting of a 5-member committee.[35] The Huskies received 3 first-place votes while the Hurricanes got two.[35] The voting members of the FWAA committee were Bob Hammel of the Bloomington Herald-Times, Bil Lumpkin of the Birmingham Post-Herald, Bill McGrotha of the Tallahassee Democrat, Volney Meece of the Daily Oklahoman, and Thomas O'Toole of the Scripps Howard News Service.[35]",1991 FWAA Grantland Rice National Championship Trophy on display inside Husky Stadium,A trophy encased in glass with a gold football on top and a wooden base is displayed. The text on the trophy is partially visible. A large poster featuring a football player in a purple jersey is in the background. The setting appears to be inside a building with large windows revealing greenery outside.,"Alt-text: The Grantland Rice Trophy displayed in a glass case, featuring a large golden football atop a wooden base with an engraved plaque. In the background, a poster with a football player's face and the word ""HUSKIES"" can be seen.",Golden football trophy in a glass case with engraved text. Purple wall with a football player wearing a helmet in the background.,"A trophy with an engraved plaque displayed in a glass case, with a purple sports-themed backdrop featuring a football player."
Pan_American_Games_host_countries_map.png,diagram_map,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Pan_American_Games_host_countries_map.png/640px-Pan_American_Games_host_countries_map.png,Pan_American_Games,"The Pan American Games have been hosted by 17 cities in 11 countries. Mexico and Canada have hosted three Pan American Games each, more than any other nation. Among cities, only Winnipeg and Mexico City have played host to the Pan American Games more than once, each hosting twice.","Map of Pan American Games locations (host cities in red dots). Countries that have hosted one Pan Am Games are shaded green, while countries that have hosted two or more are shaded blue.","Map of the Americas highlighting various countries in different colors. The United States, Canada, Mexico, and most of the Caribbean are shaded in blue. Central American countries and some parts of South America, including Colombia, Peru, and Chile, are also in blue. Brazil and a few neighboring regions are highlighted in green, while other South American countries like Argentina and Uruguay are in gray. Some countries have years noted beside them in black text. Other non-American regions are shown in light gray.","Alt-text: A map of North and South America highlighting countries that have hosted the Pan American Games. Canada, the United States, Brazil, Argentina, and other countries are marked in blue and green, with specific host years labeled next to them.","A map of the Americas showing countries in different colors, with labels featuring names and years. Blue represents North America, green highlights parts of South America and the Caribbean, and gray marks other areas.","Map of the Americas highlighting countries that have hosted the Pan American Games, with Mexico and Canada in blue, indicating they have hosted the games multiple times. Countries labeled with host years."
(Venice)_Doge_Giovanni_Mocenigo_by_Gentile_Bellini_-_Correr_Museum.jpg,artwork_illustration,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/%28Venice%29_Doge_Giovanni_Mocenigo_by_Gentile_Bellini_-_Correr_Museum.jpg/640px-%28Venice%29_Doge_Giovanni_Mocenigo_by_Gentile_Bellini_-_Correr_Museum.jpg,Gentile_Bellini,"Procession of the True Cross in Piazza San Marco, 1496; tempera & oil on canvas; Accademia, Venice Gentile's earliest signed work is The Blessed Lorenzo Giustinian (1445), one of the oldest surviving oil paintings in Venice (now at the Accademia Museum). During the 1450s Bellini worked on a commission for the Scuola Grande di San Marco and painted in conjunction with his brother, Giovanni Bellini. From 1454 he was also the official portrait artist for the Doges of Venice,[3] (for example, see image of the Doge Giovanni Mocenigo at right).","Doge Giovanni Mocenigo, c. 1478; Tempera on panel; Museo Correr, Venice","A painted portrait of an older man in profile against a plain background, wearing an ornate, golden hat with an elaborate pattern and a luxurious white robe adorned with gold embellishments. His expression appears solemn or contemplative.","Alt-text: A classic portrait painting depicting an elderly man in profile wearing ornate ceremonial attire. The man is dressed in a gilded, richly embroidered robe and a matching hat with a tall, pointed design. The background is a simple, muted color, drawing attention to the intricate details of his garments and the dignified expression on the man's face.","A painted portrait of an elderly man in profile wearing ornate golden robes and a distinctive hat with intricate patterns. The background is a plain, textured surface.",A profile portrait in tempera of Doge Giovanni Mocenigo wearing an ornate hat and a richly decorated white robe.
2024_Proclamation_of_King_Frederik_of_Denmark.jpg,historical_cultural,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/2024_Proclamation_of_King_Frederik_of_Denmark.jpg/640px-2024_Proclamation_of_King_Frederik_of_Denmark.jpg,Frederik_X,"Queen Margrethe II announced her abdication during her annual live broadcast New Year's Eve address on 31 December 2023. Frederik succeeded her as King of Denmark on 14 January 2024, after Margrethe formally signed an instrument of abdication during a meeting of the Council of State.[22]",The proclamation of King Frederik X from the balcony of Christiansborg Palace on 14 January 2024,"A large crowd of people gathered in front of a historic building, holding numerous Danish flags. The sky is overcast, adding to the somber atmosphere. The scene suggests a significant event or rally, with the building's architectural details indicating an official or governmental setting.","A large crowd gathers outside a historic building, waving Danish flags during an event. The scene is set against a cloudy sky, creating a sense of excitement and celebration.","A large crowd gathers outside a historic building, holding numerous Danish flags. The sky is overcast.","A large crowd gathers outside a historic building, waving numerous Danish flags."
Taylor_Swift_The_Eras_Tour_Lover_Set_(53109587454)_(cropped2).jpg,portrait_people,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Taylor_Swift_The_Eras_Tour_Lover_Set_%2853109587454%29_%28cropped2%29.jpg/640px-Taylor_Swift_The_Eras_Tour_Lover_Set_%2853109587454%29_%28cropped2%29.jpg,You_Need_to_Calm_Down,"Swift performed the song live for the first time at the Amazon Prime Day Concert on July 10, 2019.[88] On August 22, she performed the song at a Good Morning America concert in Central Park.[89] The next day, she performed an acoustic rendition of the song at a SiriusXM Town Hall.[90] She also performed it at the 2019 MTV Video Music Awards along with ""Lover""[91] and included the song in her setlist for BBC Radio 1's Live Lounge on September 2.[92] On September 9, Swift performed the song at the City of Lover one-off concert in Paris, France;[93] this concert live version was released to digital music and music streaming platforms on May 17, 2020.[94] While promoting Lover, Swift performed the song at the We Can Survive charity concert in Los Angeles on October 19,[95] at the Alibaba Singles' Day Gala in Shanghai, China on November 10,[96] at Capital FM's Jingle Bell Ball 2019 in London on December 8,[97] and at iHeartRadio Z100's Jingle Ball in New York City on December 13.[98] Swift included ""You Need to Calm Down"" on the set list of her sixth headlining concert tour, the Eras Tour (2023–2024) with the first verse being omitted.[99]","Swift performing ""You Need to Calm Down"" on the Eras Tour in Inglewood, 2023","A performer on stage is singing into a microphone while pointing toward the audience. She is wearing a sparkling, silver outfit with matching tall boots. The background shows vibrant, colorful lights.","Alt-text: A performer on stage wearing a sparkly outfit with fringes, holding a microphone and pointing outwards. The background features a large video screen with abstract patterns.","A performer in a sparkling outfit sings on stage with a microphone, pointing outward. The background features bright, patterned lighting.","A performer sings on stage wearing a sparkling outfit and high boots, pointing into the audience with a dramatic stage backdrop."
"Obelisk_Farm,_Boughton,_Northamptonshire_01.jpg",architecture_landscape,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Obelisk_Farm%2C_Boughton%2C_Northamptonshire_01.jpg/640px-Obelisk_Farm%2C_Boughton%2C_Northamptonshire_01.jpg,"Boughton,_Northamptonshire","In the centre of Boughton stands the chapel of St John the Baptist which now serves as the parish church. The tower, dating from the 15th century, is the oldest surviving structural element of the chapel and the village core.[3] The church was extended and restored during the 19th century.[3][7] The church has a monument to Mary Tillemont (d.1706).",Obelisk Farm dates back to the 17th century,"A two-story stone cottage with a slate roof, visible from the street. The house has three chimneys and multiple windows with white frames. A small gabled porch marks the entrance, and a stone wall with trimmed hedges encloses the front yard. The sky is clear, and there’s a large tree on the left side of the house.","Alt-text: A traditional stone house in Boughton, Northamptonshire, featuring a symmetrical façade with three visible windows and a central entrance. The house has a pitched roof and is surrounded by a low stone wall with trimmed hedges. A narrow road curves in front of the property.","A large, stone cottage with a pitched roof and chimney, surrounded by a low stone wall and shrubbery, under a clear sky.","A stone house with a slate roof, central door, and chimney stacks on either end, surrounded by a low stone wall in Boughton, Northamptonshire."
The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg,portrait_people,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg/640px-The_Man_Who_Laughs_-_Conrad_Veidt_as_Gwynplaine.jpg,The_Man_Who_Laughs_(1928_film),"Following the success of Universal Pictures's 1923 adaptation of Victor Hugo's The Hunchback of Notre-Dame, the company was eager to release another film starring Lon Chaney. A treatment adapting The Phantom of the Opera was prepared, but rejected by the Universal executives. In its place, Chaney was offered the lead in a film version of Hugo's The Man Who Laughs, to be produced under its French title (L'Homme Qui Rit) out of perceived similarity to Les Misérables.[4] The Man Who Laughs, published in 1869, had been subject to significant criticism in both England and France, and was one of Hugo's least successful novels,[5] but it had been filmed twice before. Pathé had produced L'Homme qui rit in France in 1908, and the Austrian film company Olympic-Film released a low-budget German version in 1921 as Das grinsende Gesicht.[6]",Conrad Veidt as Gwynplaine.,"Black and white image of a person with theatrical makeup. They have exaggerated dark eye makeup and a wide, unnaturally large grin, giving a dramatic and slightly eerie expression. The hair is slicked back, and the collar of their clothing is raised. The overall effect is striking and intense.","A black and white promotional still from the 1928 film ""The Man Who Laughs."" The image shows a close-up of a man with slicked-back hair and a wide, exaggerated grin on his face, wearing dark clothing. His expression is both eerie and captivating.","A black and white photograph of a person with exaggerated makeup, featuring dark eyeshadow and a wide, toothy grin, wearing a dark coat.","A monochrome still from the 1928 film ""The Man Who Laughs,"" showing a man with a wide, exaggerated smile and slicked-back hair, wearing dark clothing."
(MHNT)_Brahmaea_europaea_-_dorsal.jpg,animal_wildlife,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/%28MHNT%29_Brahmaea_europaea_-_dorsal.jpg/640px-%28MHNT%29_Brahmaea_europaea_-_dorsal.jpg,Fauna_of_Italy,"The Italian fauna includes 56,213 species of invertebrates, of which 37,303 species of insects.[22] Commonly seen insects in Italy are the sail swallowtail, the scarlet dragonfly, Cleopatra butterfly, European praying mantis, cicada, glow-worm, hummingbird hawk-moth, Italian stinkbug, firebug, field cricket, European hornet, cuckoo wasp, carpenter bee, and the rose chafer.","European owl moth, endemic to Southern Italy","Alt-text: A moth with intricate, patterned wings spread out against a black background. The wings display a combination of brown, beige, and black markings with wavy lines and eye-like spots near the tips. The moth's body is thick and also patterned with similar colors.","Alt-text: A detailed image of a moth with intricately patterned wings spread open. The wings are predominantly brown with lighter and darker brown markings. The moth is positioned against a black background, highlighting the texture and patterns on its wings.","A detailed close-up of a moth with intricately patterned brown and cream wings, displayed against a black background.",A close-up photograph of a moth with intricately patterned brown wings displayed against a black background.
